Name,Year,Link,Notes,Type,Featured,Thumbnail
Werwolf Ljubljana,2026,https://youtube.com/shorts/bP2feqU3pB8,,Short Video,,thumbnails/bP2feqU3pB8.jpg
Croatia in February,2026,https://www.youtube.com/watch?v=CXk1gu-x1iA,Travel Video about Kroatien (https://www.notion.so/Kroatien-309a2b50513c802aa0fcdbaca45dc34a?pvs=21) Trip,Video,Yes,thumbnails/CXk1gu-x1iA.jpg
Race The Tube Berlin,2025,https://youtu.be/0w2QgHqgZCc?si=gxURIWALXpG6j1YM,Created with Leander,Video,Yes,thumbnails/0w2QgHqgZCc.jpg
Star Wars Fan Film,2025,,Created with Leonard,Film,,
Star Wars Fan Film: Trailer,2025,https://www.youtube.com/watch?v=aIF4w_6MdYM,,Video,,thumbnails/aIF4w_6MdYM.jpg
Streets of Bangkok, 2024,https://youtube.com/shorts/Kk9fkzL-bDI,,Short Video,,thumbnails/Kk9fkzL-bDI.jpg
WeTeleport,2022,https://youtu.be/-XPcuPL1no0,,Short Film,,thumbnails/-XPcuPL1no0.jpg
Travel Video Fuerteventura,2020,https://youtu.be/gRQmISRGDVA,,Video,,thumbnails/gRQmISRGDVA.jpg
Lichtschwert Duell,2020,https://youtu.be/v3iy1qNzRRk,Created with Leonard,Video,,thumbnails/v3iy1qNzRRk.jpg
House of Cards,2019,,Created with Leonard,Short Film,,
Die WG,2018,,,Short Film,,
Sherlock,2018,,Created with Leonard,Short Film,,
Wave60 Trailer,2016,https://www.youtube.com/watch?v=nMbjLYtXx8s,Trailer for the Android App wave60,Video,,thumbnails/nMbjLYtXx8s.jpg
New York & America Trip,2016,,,Video,,
